run_id,split
01_low_friction_mu_0p12_p2l_v2,train
02_asymmetric_left_mu_0p15_p2l_v2,train
03_rough_h0p008_spacing0p45_p2l_v2,train
05_wheel_block_left_f3N_tau0p08_t0p60_p2l_v2,train
07b_healthy_high_safe_zigzag_p2l_v2,train
08_low_friction_mild_mu_0p20_p2l_v2,train
10_external_impact_neg_x12N_p2l_v2,train
13_low_friction_mu_0p10_variable_s_p2l_v2,train
14_low_friction_mu_0p075_fast_chicane_p2l_v2,train
15_wheel_drag_both_f1p6_t1p2_p2l_v2,train
00_normal_p2l_v2,validation
04_external_impact_y12N_t0p25_p2l_v2,validation
12_low_friction_mu_0p16_low_weave_p2l_v2,validation
16_rough_h0p012_spacing0p28_hard_negative_p2l_v2,validation
06_healthy_low_turns_p2l_v2,test
09_low_friction_severe_mu_0p06_p2l_v2,test
11_external_impact_y20N_p2l_v2,test
